Intent,User_Input,Bot_Response
roleplay,Let's do a job interview roleplay.,Great! Let's start the job interview scenario. You go first.
pronunciation,Help me pronounce 'vegetable'.,Focus on the vowel sound in 'vegetable'. Try saying it slowly.
pronunciation,What is the correct pronunciation of 'vegetable'?,Focus on the vowel sound in 'vegetable'. Try saying it slowly.
grammar,Did I make a mistake here: 'He playing soccer now'?,You have a small mistake. It should be: '[Corrected version]'.
pronunciation,I can't say 'knowledge' correctly.,Focus on the vowel sound in 'knowledge'. Try saying it slowly.
grammar,Is this correct: 'He playing soccer now'?,"Good try! However, the correct tense to use here is..."
roleplay,Let's do a asking for directions roleplay.,"Sure thing. Imagine we are doing a asking for directions. I will start: 'Hello, how can I help you?'"
grammar,Please fix my grammar: 'I go to school yesterday',Almost perfect! But native speakers usually say: '[Corrected version]'.
roleplay,Let's do a asking for directions roleplay.,Great! Let's start the asking for directions scenario. You go first.
pronunciation,Help me pronounce 'specifically'.,The stress in 'specifically' falls on the first syllable. Try again!
pronunciation,How do I pronounce 'entrepreneur'?,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
grammar,Please fix my grammar: 'We was at home',Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Check this sentence for me: 'I have 20 years old',"Good try! However, the correct tense to use here is..."
roleplay,I want to practice job interview.,Great! Let's start the job interview scenario. You go first.
roleplay,Let's do a coffee shop ordering roleplay.,Awesome! Let's practice coffee shop ordering. What would you say in this situation?
grammar,Is this correct: 'He playing soccer now'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Is this correct: 'I have 20 years old'?,You have a small mistake. It should be: '[Corrected version]'.
grammar,Please fix my grammar: 'He playing soccer now',"Good try! However, the correct tense to use here is..."
roleplay,Let's do a job interview roleplay.,Awesome! Let's practice job interview. What would you say in this situation?
grammar,Check this sentence for me: 'I go to school yesterday',You have a small mistake. It should be: '[Corrected version]'.
roleplay,Let's do a job interview roleplay.,Great! Let's start the job interview scenario. You go first.
pronunciation,Help me pronounce 'thorough'.,Focus on the vowel sound in 'thorough'. Try saying it slowly.
roleplay,Can we simulate a job interview situation?,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
pronunciation,Help me pronounce 'literature'.,The stress in 'literature' falls on the first syllable. Try again!
grammar,Please fix my grammar: 'I go to school yesterday',You have a small mistake. It should be: '[Corrected version]'.
pronunciation,I can't say 'vegetable' correctly.,"To say 'vegetable', break it down into syllables. Listen to this and repeat."
grammar,Is this correct: 'I have 20 years old'?,You have a small mistake. It should be: '[Corrected version]'.
roleplay,Can we simulate a coffee shop ordering situation?,"Sure thing. Imagine we are doing a coffee shop ordering. I will start: 'Hello, how can I help you?'"
pronunciation,How do I pronounce 'schedule'?,"To say 'schedule', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'literature'.,"To say 'literature', break it down into syllables. Listen to this and repeat."
grammar,Is this correct: 'He playing soccer now'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,I can't say 'comfortable' correctly.,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
pronunciation,How do I pronounce 'specifically'?,The stress in 'specifically' falls on the first syllable. Try again!
roleplay,I want to practice coffee shop ordering.,Awesome! Let's practice coffee shop ordering. What would you say in this situation?
roleplay,Let's do a hotel check-in roleplay.,Great! Let's start the hotel check-in scenario. You go first.
grammar,Check this sentence for me: 'He playing soccer now',You have a small mistake. It should be: '[Corrected version]'.
pronunciation,How do I pronounce 'literature'?,Focus on the vowel sound in 'literature'. Try saying it slowly.
roleplay,Can we simulate a coffee shop ordering situation?,Awesome! Let's practice coffee shop ordering. What would you say in this situation?
grammar,Please fix my grammar: 'We was at home',Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,Help me pronounce 'comfortable'.,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
roleplay,Let's do a hotel check-in roleplay.,Great! Let's start the hotel check-in scenario. You go first.
grammar,Please fix my grammar: 'He playing soccer now',Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,I can't say 'entrepreneur' correctly.,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
pronunciation,I can't say 'entrepreneur' correctly.,The stress in 'entrepreneur' falls on the first syllable. Try again!
grammar,Did I make a mistake here: 'I have 20 years old'?,"Good try! However, the correct tense to use here is..."
grammar,Check this sentence for me: 'She don't like apple',You have a small mistake. It should be: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'schedule'?,The stress in 'schedule' falls on the first syllable. Try again!
pronunciation,How do I pronounce 'thorough'?,"To say 'thorough', break it down into syllables. Listen to this and repeat."
grammar,Is this correct: 'I go to school yesterday'?,"Good try! However, the correct tense to use here is..."
grammar,Is this correct: 'I have 20 years old'?,You have a small mistake. It should be: '[Corrected version]'.
roleplay,I want to practice asking for directions.,Great! Let's start the asking for directions scenario. You go first.
pronunciation,I can't say 'schedule' correctly.,Focus on the vowel sound in 'schedule'. Try saying it slowly.
pronunciation,How do I pronounce 'thorough'?,The stress in 'thorough' falls on the first syllable. Try again!
pronunciation,How do I pronounce 'vegetable'?,The stress in 'vegetable' falls on the first syllable. Try again!
grammar,Is this correct: 'I have 20 years old'?,You have a small mistake. It should be: '[Corrected version]'.
grammar,Did I make a mistake here: 'We was at home'?,"Good try! However, the correct tense to use here is..."
roleplay,Can we simulate a job interview situation?,Awesome! Let's practice job interview. What would you say in this situation?
roleplay,Let's do a airport custom roleplay.,"Sure thing. Imagine we are doing a airport custom. I will start: 'Hello, how can I help you?'"
grammar,Did I make a mistake here: 'I go to school yesterday'?,"Good try! However, the correct tense to use here is..."
pronunciation,What is the correct pronunciation of 'specifically'?,The stress in 'specifically' falls on the first syllable. Try again!
pronunciation,How do I pronounce 'schedule'?,"To say 'schedule', break it down into syllables. Listen to this and repeat."
grammar,Please fix my grammar: 'I go to school yesterday',"Good try! However, the correct tense to use here is..."
grammar,Is this correct: 'We was at home'?,You have a small mistake. It should be: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'schedule'?,The stress in 'schedule' falls on the first syllable. Try again!
pronunciation,What is the correct pronunciation of 'entrepreneur'?,The stress in 'entrepreneur' falls on the first syllable. Try again!
greeting,Hey,Hello! Ready to practice English?
pronunciation,What is the correct pronunciation of 'knowledge'?,The stress in 'knowledge' falls on the first syllable. Try again!
roleplay,Can we simulate a job interview situation?,Great! Let's start the job interview scenario. You go first.
grammar,Check this sentence for me: 'She don't like apple',Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Please fix my grammar: 'He playing soccer now',You have a small mistake. It should be: '[Corrected version]'.
grammar,Please fix my grammar: 'He playing soccer now',You have a small mistake. It should be: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'knowledge'?,The stress in 'knowledge' falls on the first syllable. Try again!
grammar,Did I make a mistake here: 'He playing soccer now'?,You have a small mistake. It should be: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'vegetable'?,Focus on the vowel sound in 'vegetable'. Try saying it slowly.
pronunciation,Help me pronounce 'specifically'.,"To say 'specifically', break it down into syllables. Listen to this and repeat."
pronunciation,What is the correct pronunciation of 'literature'?,"To say 'literature', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'vegetable'.,Focus on the vowel sound in 'vegetable'. Try saying it slowly.
grammar,Please fix my grammar: 'She don't like apple',"Good try! However, the correct tense to use here is..."
pronunciation,How do I pronounce 'entrepreneur'?,"To say 'entrepreneur', break it down into syllables. Listen to this and repeat."
pronunciation,I can't say 'entrepreneur' correctly.,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
pronunciation,What is the correct pronunciation of 'literature'?,"To say 'literature', break it down into syllables. Listen to this and repeat."
grammar,Check this sentence for me: 'I go to school yesterday',You have a small mistake. It should be: '[Corrected version]'.
pronunciation,Help me pronounce 'comfortable'.,Focus on the vowel sound in 'comfortable'. Try saying it slowly.
grammar,Please fix my grammar: 'We was at home',"Good try! However, the correct tense to use here is..."
roleplay,Can we simulate a hotel check-in situation?,Great! Let's start the hotel check-in scenario. You go first.
pronunciation,How do I pronounce 'literature'?,The stress in 'literature' falls on the first syllable. Try again!
grammar,Please fix my grammar: 'I have 20 years old',You have a small mistake. It should be: '[Corrected version]'.
grammar,Did I make a mistake here: 'He playing soccer now'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
roleplay,Let's do a job interview roleplay.,Awesome! Let's practice job interview. What would you say in this situation?
pronunciation,I can't say 'specifically' correctly.,"To say 'specifically', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'knowledge'.,"To say 'knowledge', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'literature'.,Focus on the vowel sound in 'literature'. Try saying it slowly.
pronunciation,How do I pronounce 'schedule'?,Focus on the vowel sound in 'schedule'. Try saying it slowly.
pronunciation,What is the correct pronunciation of 'comfortable'?,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
roleplay,I want to practice asking for directions.,Awesome! Let's practice asking for directions. What would you say in this situation?
grammar,Did I make a mistake here: 'She don't like apple'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Please fix my grammar: 'I go to school yesterday',"Good try! However, the correct tense to use here is..."
roleplay,I want to practice airport custom.,Great! Let's start the airport custom scenario. You go first.
grammar,Please fix my grammar: 'We was at home',"Good try! However, the correct tense to use here is..."
grammar,Please fix my grammar: 'We was at home',"Good try! However, the correct tense to use here is..."
grammar,Check this sentence for me: 'I go to school yesterday',You have a small mistake. It should be: '[Corrected version]'.
grammar,Did I make a mistake here: 'I go to school yesterday'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Is this correct: 'I have 20 years old'?,You have a small mistake. It should be: '[Corrected version]'.
pronunciation,I can't say 'literature' correctly.,The stress in 'literature' falls on the first syllable. Try again!
roleplay,Can we simulate a job interview situation?,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
roleplay,Let's do a airport custom roleplay.,Awesome! Let's practice airport custom. What would you say in this situation?
roleplay,Let's do a job interview roleplay.,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
pronunciation,What is the correct pronunciation of 'knowledge'?,"To say 'knowledge', break it down into syllables. Listen to this and repeat."
grammar,Check this sentence for me: 'We was at home',Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'vegetable'?,"To say 'vegetable', break it down into syllables. Listen to this and repeat."
pronunciation,How do I pronounce 'literature'?,"To say 'literature', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'literature'.,"To say 'literature', break it down into syllables. Listen to this and repeat."
grammar,Please fix my grammar: 'I go to school yesterday',"Good try! However, the correct tense to use here is..."
greeting,Hey there,Hi there! How can I help your speaking skills today?
grammar,Please fix my grammar: 'He playing soccer now',"Good try! However, the correct tense to use here is..."
grammar,Check this sentence for me: 'She don't like apple',"Good try! However, the correct tense to use here is..."
roleplay,Can we simulate a asking for directions situation?,"Sure thing. Imagine we are doing a asking for directions. I will start: 'Hello, how can I help you?'"
grammar,Is this correct: 'He playing soccer now'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,I can't say 'comfortable' correctly.,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
grammar,Please fix my grammar: 'I go to school yesterday',"Good try! However, the correct tense to use here is..."
pronunciation,What is the correct pronunciation of 'vegetable'?,"To say 'vegetable', break it down into syllables. Listen to this and repeat."
grammar,Did I make a mistake here: 'We was at home'?,"Good try! However, the correct tense to use here is..."
roleplay,Can we simulate a airport custom situation?,Great! Let's start the airport custom scenario. You go first.
roleplay,Can we simulate a job interview situation?,Awesome! Let's practice job interview. What would you say in this situation?
roleplay,Can we simulate a hotel check-in situation?,Great! Let's start the hotel check-in scenario. You go first.
roleplay,Can we simulate a hotel check-in situation?,"Sure thing. Imagine we are doing a hotel check-in. I will start: 'Hello, how can I help you?'"
greeting,Hello,Hello! Ready to practice English?
roleplay,Let's do a asking for directions roleplay.,Awesome! Let's practice asking for directions. What would you say in this situation?
roleplay,Can we simulate a hotel check-in situation?,"Sure thing. Imagine we are doing a hotel check-in. I will start: 'Hello, how can I help you?'"
pronunciation,Help me pronounce 'schedule'.,Focus on the vowel sound in 'schedule'. Try saying it slowly.
pronunciation,What is the correct pronunciation of 'literature'?,Focus on the vowel sound in 'literature'. Try saying it slowly.
greeting,Hey there,Hi there! How can I help your speaking skills today?
greeting,Good afternoon,Hello! Ready to practice English?
grammar,Check this sentence for me: 'She don't like apple',You have a small mistake. It should be: '[Corrected version]'.
pronunciation,How do I pronounce 'thorough'?,"To say 'thorough', break it down into syllables. Listen to this and repeat."
pronunciation,How do I pronounce 'vegetable'?,The stress in 'vegetable' falls on the first syllable. Try again!
roleplay,Can we simulate a coffee shop ordering situation?,Great! Let's start the coffee shop ordering scenario. You go first.
pronunciation,I can't say 'comfortable' correctly.,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
pronunciation,How do I pronounce 'knowledge'?,"To say 'knowledge', break it down into syllables. Listen to this and repeat."
pronunciation,What is the correct pronunciation of 'thorough'?,Focus on the vowel sound in 'thorough'. Try saying it slowly.
grammar,Is this correct: 'I go to school yesterday'?,You have a small mistake. It should be: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'knowledge'?,The stress in 'knowledge' falls on the first syllable. Try again!
pronunciation,I can't say 'literature' correctly.,Focus on the vowel sound in 'literature'. Try saying it slowly.
pronunciation,I can't say 'thorough' correctly.,Focus on the vowel sound in 'thorough'. Try saying it slowly.
grammar,Check this sentence for me: 'She don't like apple',You have a small mistake. It should be: '[Corrected version]'.
grammar,Check this sentence for me: 'We was at home',Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Please fix my grammar: 'I go to school yesterday',Almost perfect! But native speakers usually say: '[Corrected version]'.
greeting,Good afternoon,Hello! Ready to practice English?
grammar,Did I make a mistake here: 'I go to school yesterday'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'vegetable'?,Focus on the vowel sound in 'vegetable'. Try saying it slowly.
grammar,Please fix my grammar: 'I go to school yesterday',Almost perfect! But native speakers usually say: '[Corrected version]'.
roleplay,I want to practice job interview.,Great! Let's start the job interview scenario. You go first.
pronunciation,I can't say 'schedule' correctly.,The stress in 'schedule' falls on the first syllable. Try again!
pronunciation,Help me pronounce 'vegetable'.,"To say 'vegetable', break it down into syllables. Listen to this and repeat."
greeting,Hello,Hello! Ready to practice English?
grammar,Is this correct: 'He playing soccer now'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
roleplay,I want to practice job interview.,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
grammar,Check this sentence for me: 'I go to school yesterday',You have a small mistake. It should be: '[Corrected version]'.
grammar,Please fix my grammar: 'She don't like apple',Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'vegetable'?,Focus on the vowel sound in 'vegetable'. Try saying it slowly.
roleplay,Can we simulate a hotel check-in situation?,"Sure thing. Imagine we are doing a hotel check-in. I will start: 'Hello, how can I help you?'"
pronunciation,How do I pronounce 'entrepreneur'?,The stress in 'entrepreneur' falls on the first syllable. Try again!
roleplay,Let's do a job interview roleplay.,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
pronunciation,Help me pronounce 'literature'.,"To say 'literature', break it down into syllables. Listen to this and repeat."
greeting,Good morning,Greetings! Let's improve your English.
pronunciation,Help me pronounce 'comfortable'.,The stress in 'comfortable' falls on the first syllable. Try again!
greeting,Hey there,Hi there! How can I help your speaking skills today?
greeting,Hey,Hi there! How can I help your speaking skills today?
grammar,Is this correct: 'He playing soccer now'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
greeting,Hello,Greetings! Let's improve your English.
pronunciation,What is the correct pronunciation of 'literature'?,Focus on the vowel sound in 'literature'. Try saying it slowly.
pronunciation,Help me pronounce 'knowledge'.,Focus on the vowel sound in 'knowledge'. Try saying it slowly.
pronunciation,I can't say 'knowledge' correctly.,Focus on the vowel sound in 'knowledge'. Try saying it slowly.
pronunciation,I can't say 'comfortable' correctly.,Focus on the vowel sound in 'comfortable'. Try saying it slowly.
pronunciation,What is the correct pronunciation of 'specifically'?,"To say 'specifically', break it down into syllables. Listen to this and repeat."
pronunciation,I can't say 'thorough' correctly.,Focus on the vowel sound in 'thorough'. Try saying it slowly.
pronunciation,I can't say 'entrepreneur' correctly.,"To say 'entrepreneur', break it down into syllables. Listen to this and repeat."
grammar,Please fix my grammar: 'She don't like apple',Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,How do I pronounce 'knowledge'?,The stress in 'knowledge' falls on the first syllable. Try again!
pronunciation,I can't say 'specifically' correctly.,Focus on the vowel sound in 'specifically'. Try saying it slowly.
grammar,Did I make a mistake here: 'He playing soccer now'?,You have a small mistake. It should be: '[Corrected version]'.
grammar,Did I make a mistake here: 'We was at home'?,You have a small mistake. It should be: '[Corrected version]'.
pronunciation,Help me pronounce 'entrepreneur'.,"To say 'entrepreneur', break it down into syllables. Listen to this and repeat."
roleplay,Can we simulate a job interview situation?,Awesome! Let's practice job interview. What would you say in this situation?
roleplay,I want to practice job interview.,Great! Let's start the job interview scenario. You go first.
pronunciation,What is the correct pronunciation of 'schedule'?,"To say 'schedule', break it down into syllables. Listen to this and repeat."
pronunciation,What is the correct pronunciation of 'vegetable'?,"To say 'vegetable', break it down into syllables. Listen to this and repeat."
pronunciation,What is the correct pronunciation of 'literature'?,"To say 'literature', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'literature'.,The stress in 'literature' falls on the first syllable. Try again!
roleplay,Let's do a airport custom roleplay.,Awesome! Let's practice airport custom. What would you say in this situation?
pronunciation,Help me pronounce 'entrepreneur'.,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
pronunciation,Help me pronounce 'schedule'.,The stress in 'schedule' falls on the first syllable. Try again!
pronunciation,I can't say 'vegetable' correctly.,The stress in 'vegetable' falls on the first syllable. Try again!
pronunciation,How do I pronounce 'thorough'?,The stress in 'thorough' falls on the first syllable. Try again!
pronunciation,What is the correct pronunciation of 'vegetable'?,"To say 'vegetable', break it down into syllables. Listen to this and repeat."
grammar,Check this sentence for me: 'I have 20 years old',"Good try! However, the correct tense to use here is..."
pronunciation,What is the correct pronunciation of 'thorough'?,The stress in 'thorough' falls on the first syllable. Try again!
grammar,Did I make a mistake here: 'We was at home'?,"Good try! However, the correct tense to use here is..."
pronunciation,How do I pronounce 'entrepreneur'?,The stress in 'entrepreneur' falls on the first syllable. Try again!
roleplay,I want to practice hotel check-in.,Great! Let's start the hotel check-in scenario. You go first.
pronunciation,How do I pronounce 'knowledge'?,Focus on the vowel sound in 'knowledge'. Try saying it slowly.
pronunciation,What is the correct pronunciation of 'knowledge'?,"To say 'knowledge', break it down into syllables. Listen to this and repeat."
pronunciation,What is the correct pronunciation of 'thorough'?,"To say 'thorough', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'specifically'.,The stress in 'specifically' falls on the first syllable. Try again!
grammar,Please fix my grammar: 'He playing soccer now',Almost perfect! But native speakers usually say: '[Corrected version]'.
roleplay,I want to practice airport custom.,Great! Let's start the airport custom scenario. You go first.
roleplay,Let's do a coffee shop ordering roleplay.,"Sure thing. Imagine we are doing a coffee shop ordering. I will start: 'Hello, how can I help you?'"
pronunciation,What is the correct pronunciation of 'entrepreneur'?,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
greeting,Good afternoon,Hi there! How can I help your speaking skills today?
roleplay,I want to practice coffee shop ordering.,Great! Let's start the coffee shop ordering scenario. You go first.
greeting,Good morning,Greetings! Let's improve your English.
grammar,Please fix my grammar: 'He playing soccer now',"Good try! However, the correct tense to use here is..."
pronunciation,Help me pronounce 'thorough'.,Focus on the vowel sound in 'thorough'. Try saying it slowly.
roleplay,I want to practice job interview.,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
roleplay,I want to practice hotel check-in.,Awesome! Let's practice hotel check-in. What would you say in this situation?
grammar,Is this correct: 'I go to school yesterday'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
greeting,Good afternoon,Hi there! How can I help your speaking skills today?
greeting,Hello,Hi there! How can I help your speaking skills today?
grammar,Is this correct: 'We was at home'?,"Good try! However, the correct tense to use here is..."
roleplay,Let's do a job interview roleplay.,Awesome! Let's practice job interview. What would you say in this situation?
roleplay,Can we simulate a job interview situation?,Great! Let's start the job interview scenario. You go first.
roleplay,I want to practice airport custom.,Great! Let's start the airport custom scenario. You go first.
roleplay,Can we simulate a asking for directions situation?,Great! Let's start the asking for directions scenario. You go first.
pronunciation,Help me pronounce 'specifically'.,Focus on the vowel sound in 'specifically'. Try saying it slowly.
pronunciation,What is the correct pronunciation of 'comfortable'?,The stress in 'comfortable' falls on the first syllable. Try again!
greeting,Hey,Hello! Ready to practice English?
pronunciation,I can't say 'entrepreneur' correctly.,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
grammar,Check this sentence for me: 'We was at home',Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Please fix my grammar: 'She don't like apple',"Good try! However, the correct tense to use here is..."
pronunciation,I can't say 'literature' correctly.,Focus on the vowel sound in 'literature'. Try saying it slowly.
pronunciation,Help me pronounce 'schedule'.,"To say 'schedule', break it down into syllables. Listen to this and repeat."
roleplay,Can we simulate a coffee shop ordering situation?,Great! Let's start the coffee shop ordering scenario. You go first.
grammar,Please fix my grammar: 'I have 20 years old',You have a small mistake. It should be: '[Corrected version]'.
grammar,Is this correct: 'She don't like apple'?,You have a small mistake. It should be: '[Corrected version]'.
roleplay,I want to practice job interview.,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
pronunciation,How do I pronounce 'entrepreneur'?,"To say 'entrepreneur', break it down into syllables. Listen to this and repeat."
pronunciation,I can't say 'thorough' correctly.,The stress in 'thorough' falls on the first syllable. Try again!
grammar,Is this correct: 'He playing soccer now'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,Help me pronounce 'specifically'.,The stress in 'specifically' falls on the first syllable. Try again!
pronunciation,I can't say 'entrepreneur' correctly.,"To say 'entrepreneur', break it down into syllables. Listen to this and repeat."
roleplay,Let's do a hotel check-in roleplay.,Awesome! Let's practice hotel check-in. What would you say in this situation?
roleplay,Let's do a job interview roleplay.,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
pronunciation,How do I pronounce 'literature'?,"To say 'literature', break it down into syllables. Listen to this and repeat."
grammar,Please fix my grammar: 'He playing soccer now',You have a small mistake. It should be: '[Corrected version]'.
roleplay,Let's do a job interview roleplay.,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
grammar,Check this sentence for me: 'We was at home',You have a small mistake. It should be: '[Corrected version]'.
grammar,Please fix my grammar: 'He playing soccer now',Almost perfect! But native speakers usually say: '[Corrected version]'.
grammar,Is this correct: 'I have 20 years old'?,You have a small mistake. It should be: '[Corrected version]'.
pronunciation,What is the correct pronunciation of 'comfortable'?,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
pronunciation,Help me pronounce 'thorough'.,Focus on the vowel sound in 'thorough'. Try saying it slowly.
pronunciation,I can't say 'entrepreneur' correctly.,The stress in 'entrepreneur' falls on the first syllable. Try again!
pronunciation,I can't say 'entrepreneur' correctly.,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
grammar,Is this correct: 'He playing soccer now'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
roleplay,Let's do a coffee shop ordering roleplay.,Awesome! Let's practice coffee shop ordering. What would you say in this situation?
pronunciation,Help me pronounce 'entrepreneur'.,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
roleplay,Can we simulate a asking for directions situation?,Great! Let's start the asking for directions scenario. You go first.
grammar,Check this sentence for me: 'She don't like apple',"Good try! However, the correct tense to use here is..."
grammar,Did I make a mistake here: 'She don't like apple'?,Almost perfect! But native speakers usually say: '[Corrected version]'.
pronunciation,Help me pronounce 'literature'.,"To say 'literature', break it down into syllables. Listen to this and repeat."
pronunciation,How do I pronounce 'specifically'?,Focus on the vowel sound in 'specifically'. Try saying it slowly.
greeting,Hello,Hi there! How can I help your speaking skills today?
grammar,Please fix my grammar: 'I have 20 years old',"Good try! However, the correct tense to use here is..."
grammar,Please fix my grammar: 'He playing soccer now',"Good try! However, the correct tense to use here is..."
pronunciation,What is the correct pronunciation of 'specifically'?,The stress in 'specifically' falls on the first syllable. Try again!
pronunciation,What is the correct pronunciation of 'literature'?,The stress in 'literature' falls on the first syllable. Try again!
grammar,Is this correct: 'We was at home'?,"Good try! However, the correct tense to use here is..."
roleplay,Can we simulate a airport custom situation?,Great! Let's start the airport custom scenario. You go first.
greeting,Hello,Hello! Ready to practice English?
greeting,Good morning,Hi there! How can I help your speaking skills today?
greeting,Hello,Hi there! How can I help your speaking skills today?
grammar,Did I make a mistake here: 'I have 20 years old'?,You have a small mistake. It should be: '[Corrected version]'.
pronunciation,Help me pronounce 'comfortable'.,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
roleplay,Can we simulate a hotel check-in situation?,Great! Let's start the hotel check-in scenario. You go first.
pronunciation,How do I pronounce 'schedule'?,The stress in 'schedule' falls on the first syllable. Try again!
pronunciation,How do I pronounce 'specifically'?,Focus on the vowel sound in 'specifically'. Try saying it slowly.
pronunciation,What is the correct pronunciation of 'literature'?,The stress in 'literature' falls on the first syllable. Try again!
grammar,Did I make a mistake here: 'He playing soccer now'?,You have a small mistake. It should be: '[Corrected version]'.
roleplay,Can we simulate a asking for directions situation?,Awesome! Let's practice asking for directions. What would you say in this situation?
pronunciation,How do I pronounce 'thorough'?,Focus on the vowel sound in 'thorough'. Try saying it slowly.
grammar,Check this sentence for me: 'I have 20 years old',You have a small mistake. It should be: '[Corrected version]'.
roleplay,I want to practice job interview.,"Sure thing. Imagine we are doing a job interview. I will start: 'Hello, how can I help you?'"
grammar,Is this correct: 'I have 20 years old'?,"Good try! However, the correct tense to use here is..."
pronunciation,How do I pronounce 'comfortable'?,"To say 'comfortable', break it down into syllables. Listen to this and repeat."
grammar,Is this correct: 'She don't like apple'?,You have a small mistake. It should be: '[Corrected version]'.
grammar,Is this correct: 'I go to school yesterday'?,"Good try! However, the correct tense to use here is..."
greeting,Hey,Greetings! Let's improve your English.
grammar,Did I make a mistake here: 'She don't like apple'?,"Good try! However, the correct tense to use here is..."
pronunciation,What is the correct pronunciation of 'vegetable'?,The stress in 'vegetable' falls on the first syllable. Try again!
pronunciation,What is the correct pronunciation of 'literature'?,The stress in 'literature' falls on the first syllable. Try again!
grammar,Did I make a mistake here: 'We was at home'?,"Good try! However, the correct tense to use here is..."
greeting,Good afternoon,Hello! Ready to practice English?
grammar,Did I make a mistake here: 'I go to school yesterday'?,You have a small mistake. It should be: '[Corrected version]'.
greeting,Good morning,Hello! Ready to practice English?
grammar,Is this correct: 'She don't like apple'?,"Good try! However, the correct tense to use here is..."
roleplay,I want to practice airport custom.,Great! Let's start the airport custom scenario. You go first.
greeting,Hi bot,Greetings! Let's improve your English.
pronunciation,I can't say 'entrepreneur' correctly.,Focus on the vowel sound in 'entrepreneur'. Try saying it slowly.
pronunciation,Help me pronounce 'specifically'.,The stress in 'specifically' falls on the first syllable. Try again!
grammar,Is this correct: 'She don't like apple'?,"Good try! However, the correct tense to use here is..."
roleplay,I want to practice coffee shop ordering.,Awesome! Let's practice coffee shop ordering. What would you say in this situation?
roleplay,Can we simulate a asking for directions situation?,"Sure thing. Imagine we are doing a asking for directions. I will start: 'Hello, how can I help you?'"
roleplay,I want to practice job interview.,Awesome! Let's practice job interview. What would you say in this situation?
